"Company Name","Advertising","Agency of Record","Audit","Business Intelligence/Big Data","Collaboration","CRM / Marketing Automation","Data Management","Data Storage","Databases","Ecommerce","Enterprise Applications","ERP","Finance","Hardware/OS/Systems Environment","HR","ITSM","Languages","Medical","Mobility","Networking","Programming Tools","Security","Servers","Service Providers","Telecommunications","Virtualization"
"American Express","4INFO, Affectv, BrightRoll, LiveWorld","kbs+ (kirshenbaum bond senecal + partners)","PwC","Adobe Marketing Cloud (Omniture), Adobe SiteCatalyst (Omniture), Apache Hadoop, Apache Oozie Workflow Scheduler, Dundas Software, Elastic Stack (ELK Stack), Engagement Labs, HP Vertica, IBM Business Process Management, IBM Cognos Business Intelligence, IBM ILOG, JasperReports, Keynote, Lucidworks, Microsoft Business Intelligence, MicroStrategy Business Intelligence, Mixpanel Mobile Analytics, Oracle Financial Analytics, Oracle OBIEE, Platfora, Return Path, SAP BusinessObjects, SAP Crystal Reports, SAS Business Analytics Software, SolarWinds Log & Event Manager (LEM), Splunk, Tableau, Tableau Desktop","Atlassian, Atlassian Bitbucket Server (Stash), Atlassian HipChat, CA Clarity PPM, Cisco Jabber, Cisco WebEx, Dynamic Signal, IBM Connections Chat and Meetings (formerly IBM Sametime & Lotus Sametime), IBM Domino (formerly IBM Lotus Domino), IBM WebSphere MQ (MQSeries), Java Message Service (JMS), Jive Software, Microsoft ActiveSync, Microsoft Exchange, Microsoft Lync, Microsoft Office 365, Microsoft SharePoint, Microsoft SharePoint 2010, Microsoft SharePoint 2013, Microsoft SharePoint Search, Microsoft Windows OneDrive (formerly SkyDrive), OpenText Portal (Formerly Vignette Portal), Skype for Business (formerly Lync Online), TANDBERG Video Conferencing, Validately, Yammer","AffinityAnswers, Apttus, Artesian, Contently, EchoMail, Epsilon Local (Aspen Marketing), Experian CheetahMail, Fieldglass Vendor Management System, Gigya, HappyOrNot, HelloSociety, iZooto, KANA CRM, kinetic, LevelEleven, Madison Logic, Magnetic, Marketo, Medallia, Microsoft Dynamics CRM, MotiveQuest, Movable Ink, OpinionLab Customer Feedback, Oracle Eloqua, Oracle Social Cloud (Formerly Vitrue Social Media Tools), Perion, Pick1, Radius, Salesforce Marketing Cloud (Formerly ExactTarget), Salesforce.com CRM, SAS Customer Intelligence, ScribbleLive, Switchfly, swoop, ThunderHead, Vagrant, Visual IQ, Zumobi","Ab Initio, Acronis (nScaled), Apache Hive, Apache MapReduce, Apache Solr, Apache Spark, Apache Sqoop, ASG Software Solutions, Atlassian FishEye, BMC, BMC Control-M, BMC ProactiveNet Performance Management (Formerly Patrol), BMC SQL Performance for DB2, Brainshark, CA ERwin Data Modeler, Cloudera, Compuware, CrownPeak, Datameer, Elasticsearch, Embarcadero ER/Studio, FileHold Scanning Solution, Google Cloud Platform, Hortonworks Data Platform, HP Application Performance Management (BAC) (formerly HP Business Availability Center), IBM Emptoris Supply Management, IBM ILOG JRules, IBM Information Management System (IMS), IBM Security Directory Server (formerly Tivoli Directory Server), IBM Tivoli Directory Integrator, IBM Tivoli OMEGAMON, IBM VSAM, IBM WebSphere Portal, Informatica, Informatica Data Quality, Informatica PowerCenter, Informatica Test Data Management (TDM), Kofax, Liquidware Labs Desktop Management Software, Magic Software, Magic xpi Integration Platform (Formerly iBolt), MapR, MicroServices, Microsoft Active Directory, Microsoft BPOS, Microsoft Project, Microsoft SQL Server Management Studio (SSMS), Microsoft SQL Server Reporting Services (SSRS), Microsoft Windows Communication Foundation (WCF), Microsoft Windows Presentation Foundation (WPF), Minitab Statistical Analysis, Morningstar Software, OnyX, OpenText Web Content Management (WCM), OpenText Web Experience Management (Formerly Vignette Content Management), Oracle, Oracle Coherence, Oracle Commerce Experience Manager (formerly Endeca Search/Commerce), Oracle Data Guard, Oracle Essbase, Oracle GoldenGate, Oracle Grid Engine (Formerly Sun Grid Engine), Oracle Real Application Clusters (RAC), PegaRULES Process Commander (PRPC), Pegasystems, Redwood Software, SAP Sybase Adaptive Server E (ASE), Talend, Teradata, Teradata Data Warehouse, WinSCP, ZFS","Amazon Glacier, Amazon Simple Storage Solution (S3), Dell EMC CLARiiON, Dell EMC SourceOne, EMC Distributed Storage, EMC Network Storage, EMC Products and Services, Hadoop Distributed File System (HDFS), IBM Informix, Veritas Enterprise Vault (EV), Veritas NetBackup","Apache Cassandra, Continuent Tungsten, Couchbase, DataStax Enterprise, IBM DB2, IBM Tivoli CCMDB, Microsoft SQL Server, Microsoft SQL Server 2008, Microsoft SQL Server Integration Services (SSIS), MongoDB, MySQL, Oracle Database (RDBMS), Oracle Database 11g, Oracle TimesTen In-Memory Database, PostgreSQL, Sybase","Connexity, Hybris","Autonomy Cardiff TeleForm, CorelDRAW, IBM Rational RequisitePro, Microsoft System Center Configuration Manager (SCCM), Oracle Applications","Apptio, NetSuite, NetSuite OneWorld, Oracle E-Business Suite (EBS), Oracle Hyperion, Oracle Hyperion EPM, Oracle Hyperion Planning, Oracle JD Edwards, Oracle JD Edwards EnterpriseOne, Oracle PeopleSoft Enterprise, RedBeam, SAP, SAP Enterprise Resource Planning (ERP), SAP NetWeaver Process Integration (PI)","Coupa, Harbor Payments, Wolters Kluwer CCH, Zuora","Apple iOS, Cisco Content Services Switches (CSS), HP Printers, IBM AIX, IBM OS/2, IBM TPF, IBM WebSphere DataPower, IBM z/OS, Linux, Linux on z Systems, Microsoft Windows 7, Microsoft Windows Phone, Oracle Solaris (Formerly Sun Solaris), PuTTY","HireVue, NICE IEX Workforce Management (Formerly TotalView), Oracle Taleo Talent Management, Peoplefluent (Formerly Peopleclick Authoria), UltiPro, Workday HCM","Atlassian JIRA, CA Agile Central (Rally Software), CA Spectrum, Dell EMC Ionix, FocalScope, HP SiteScope, IBM Tivoli, IBM Tivoli Service Desk, IBM Tivoli Service Request Manager, Puppet, ServiceNow, SolarWinds, Symantec pcAnywhere","AJAX, ASP, COBOL, CSS, CSS3, Extensible Markup Language (XML), Groovy, HTML5, Java, Java Servlets, JCL, jQuery, Microsoft ASP.NET, Microsoft Visual Basic (VB, includes 6), Objective-C, Oracle PL/SQL, Perl, PHP, Python, Ruby, Ruby on Rails, SAP Basis, Scala, SQL, Unified Modeling Language (UML), VBScript, XSLT",,"AirWatch, Android Devices, Android OS, Apple iPad, Apple iPhone, BlackBerry, Good Mobile, jQuery Mobile, MobileIron Mobile Device Management","Amazon Elastic Load Balancing (ELB), Aruba Networks, Avaya Network Hardware, Avaya one-X, CA GigaStor, Cisco Routers and Switches, Cisco VPN Concentrators, F5 BIG-IP Network Hardware, F5 Load Balancer, Ixia Anue Net Tool Optimizer (NTO), Novell NetWare, Riverbed, Trilogy, Wireshark","ADO.NET Entity Framework, Adobe, Adobe ColdFusion, Adobe Flash, Adobe PhoneGap, Agile, AngularJS, Apache, Apache Camel, Apache CXF, Apache HBase, Apache JMeter, Apache Kafka, Apache log4j, Apache Maven, Apache Pig, Apache Struts, Apache Subversion (SVN), Apigee, Appium, Atlassian Crucible, Axway API Gateway (Vordel), Bootstrap, CA Application Performance Management (Formerly Wily Introscope), COBIT Framework, Docker, Dojo, Drools, Eclipse, Enterprise JavaBean (EJB), Experitest, Express (ExpressJS), ExtJS, GitHub, Google Web Toolkit (GWT), Hibernate, HP Application Lifecycle Management (ALM), HP LoadRunner, HP Quality Center Software, HP QuickTest Pro (Mercury), HP WinRunner, iBATIS, IBM Data Studio, IBM Rational App Developer (RAD), IBM Rational ClearCase, IBM Rational ClearQuest, IBM Rational Suite, IBM Rational Unified Process (RUP), iRise, iText, Java Enterprise Edition (Java EE, J2EE), JavaServer Faces (JSF), JavaServer Pages (JSP), Jenkins, JSON, JUnit, KnockoutJS, Micro Focus ChangeMan ZMF (formerly Serena Changeman ZMF), Microsoft .NET Framework, Microsoft ASP.NET MVC, Microsoft SharePoint Designer, Microsoft Silverlight, Microsoft Visio, Microsoft Visual SourceSafe, Microsoft Visual Studio, MVC, NodeJS (Node.js), NUnit, Oracle JDBC, Oracle JSTL, REST, Scrum Development, Selenium, Sencha, Sencha Touch, Simple Object Access Protocol (SOAP), soapUI, SocketTools, Spring, Sybase PowerBuilder, Sybase T-SQL, TOAD, TOGAF, UNIX Shell","Acunetix, Axway, Axway MailGate, Barracuda Networks, BeyondTrust PowerBroker, CA SiteMinder, Cisco Adaptive Security Appliance (ASA), Cisco Firewalls, Cisco PIX, Cisco Security (MARS), CyberArk Software, Emailage, FireEye, IBM RACF, McAfee (formerly Intel Security), McAfee Anti-Virus, McAfee Email Gateway (IronMail), McAfee ePolicy Orchestrator (EPO), McAfee IntruShield IPS, McAfee Secure, McAfee SIEM, Microsoft Windows BitLocker, NICE Systems, PhishMe, PLXedge DDos Protection (formerly Prolexic), Proofpoint, RSA, RSA Archer GRC, RSA enVision, RSA SecurID, Securonix, Symantec, Symantec Drive Encryption (formerly PGP Whole Disk Encryption), Symantec Verisign SSL, Tripwire, Venafi EKCM, Voltage SecureMail","Akamai, Apache Tomcat, Dell PowerEdge Servers, Dell Servers, HP Servers, IBM HTTP Server, IBM iSeries, IBM Mainframe (IBM z Systems), IBM TADDM, IBM WebSphere Application Server, Microsoft BizTalk Server, Microsoft Internet Information Services (IIS), Microsoft Office PerformancePoint, Microsoft Systems Management Server, Microsoft Windows Server 2003, Microsoft Windows Servers, Microsoft Windows XP, Oracle WebLogic, Red Hat Enterprise Linux (RHEL), Tableau Server, UNIX, VisualSVN Server, Wintel Servers",,"3CX, American Voice Mail Inc., Aspect, Avaya, Avaya Aura, Avaya Aura Contact Center, Avaya Call Management System (CMS), Avaya IP Telephony (VoIP), Avaya Telephony Hardware, Cisco Systems, Cisco TelePresence, Echopass, Echopass Contact Center On-Demand, HP Halo, Tangoe TEM (includes Rivermine)","Amazon Elastic Compute Cloud (EC2), Amazon Web Services (AWS), CA Service Virtualization (formerly CA LISA), Citrix, Citrix NetScaler, Citrix XenApp (formerly MetaFrame and Presentation Server), Dell Boomi, Dell EMC VPLEX, Kubernetes, Microsoft Azure, OpenStack, Parasoft, SnapLogic, VMware, VMware ESX Server, VMware vCenter Converter, VMware vCenter Site Recovery Manager (SRM), VMware vCloud, VMware vMotion, VMware vSphere, Zumasys"
"American First Credit Union","Facebook Pixel",,,"Google Analytics",,,"DNN Evoq Content (DotNetNuke)",,,,,,,,,,"Microsoft ASP.NET",,,,"Modernizr",,,,,
"American First National Bank",,,,,,,"Microsoft Active Directory, Oracle",,,,,,,"Microsoft Windows 7",,,"CSS, Extensible Markup Language (XML), HTML",,,,"Java Enterprise Edition (Java EE, J2EE), Java SE, JavaBeans, JavaServer Pages (JSP)","McAfee (formerly Intel Security), McAfee VirusScan","Microsoft Windows Servers, Oracle WebLogic",,"Level 3 Communications",
"American Heritage Bank",,,,"Google Analytics",,,,,,,"Jack Henry Banking, Jack Henry SilverLake",,,,,,,,,,"Modernizr",,,,"AT&T",
"American Heritage Federal Credit Union","Google Tag Manager",,,,,,,,,,"logicpath",,,,,,,,,,,,,,"Comcast Business",
"American National Bank",,,,,"Microsoft Exchange, Microsoft Outlook, Microsoft SharePoint, Yammer",,"Microsoft Active Directory, Microsoft SQL Server Analysis Services (SSAS)","Dell EMC CLARiiON, Dell EMC SAN, Dell EqualLogic, EMC Celerra, ExaGrid, HP LeftHand SAN","Microsoft SQL Server, Microsoft SQL Server Integration Services (SSIS)",,"Ellie Mae (MortgageCEO), Ellie Mae Encompass, EZTeller, Jack Henry Banking",,"QuickBooks",,,,"jQuery",,,"ADTRAN Network Hardware, Cisco Load Balancers, Cisco Routers and Switches","Adobe ColdFusion, Apache, Apache Struts, Bootstrap","Cisco Adaptive Security Appliance (ASA), Cisco PIX, IBM Security Trusteer, IBM Security Trusteer Apex Advanced Malware Protection, IBM Security Trusteer Rapport, McAfee (formerly Intel Security), RSA, RSA SecurID, Symantec Verisign SSL","Microsoft Windows Servers",,"Cisco Systems, Cisco Telephony Hardware, Cisco Unity System, ShoreTel, Windstream Communications","Citrix, Citrix XenServer (Virtualization)"
"American National Bank of Texas","Facebook Pixel, Google Tag Manager",,,"Google Analytics",,,"Acronis (nScaled), BMC",,,,,,,,,"BMC Track-It!, DameWare",,,,"SolarWinds Orion","Modernizr","McAfee (formerly Intel Security)",,,,"VMware"
"American River Bankshares",,,,"Google Analytics",,,,,,"AddThis",,,,,,,"CSS, jQuery, jQuery UI, Microsoft ASP.NET",,,,,"Comodo SSL","Microsoft Internet Information Services (IIS)",,"Integra",
"American Savings Bank","Google Tag Manager",,,"Google Analytics, Verint Systems",,,"Verint Impact 360","MaxCDN, Microsoft System Center Data Protection Manager (DPM)","Microsoft SQL Server, Microsoft SQL Server 2008","Apple Pay, Drupal Commerce","Microsoft System Center Configuration Manager (SCCM)",,,,,"Microsoft System Center 2012","CSS, jQuery",,,"Cisco VPN Concentrators, CiscoWorks, SolarWinds Network Management","Apache, Drupal","Cisco Secure Access Control System (ACS), RSA, RSA SecurID, Thawte SSL","Apache Servers, Dell PowerEdge Servers, Microsoft Windows Servers",,"Cisco Systems, Cisco Telephony Hardware, Cisco Unity System, Verizon Wireless","Microsoft Hyper-V"
"American Trust Bank of East Tennessee",,,,"Google Analytics",,,,,,,"Jack Henry Banking",,,,,,"HTML, jQuery",,,,,,,,,
"AmeriChoice Federal Credit Union",,,,,,,,,,"Yoast",,,,,,,,,,,,,,,,
"Ameris Bank","Google Tag Manager",,,"MonsterInsights","Cisco WebEx, Microsoft Outlook, Microsoft SharePoint, RightFax","Hotjar","Microsoft Active Directory, Microsoft System Center Operations Manager (SCOM)",,,"AddThis, Yoast","nCino",,,"Aptos Mobile Store, Microsoft Windows 7","UltiPro",,"Microsoft ASP.NET",,"BlackBerry, Blackberry Enterprise Server (BES)","Cisco Nexus 2000 Series Fabric Extenders, Cisco Nexus 5000 Series Switches, Cisco Nexus 7000 Series Switches, SolarWinds IP Address Manager (IPAM), SolarWinds Orion",,"Symantec","Apache Servers, Cisco Blade Servers (UCS B-Series), Cisco Rack Servers (UCS C-Series), HP Servers, Microsoft Windows Servers",,"AT&T, Cisco Unified Communications Manager (CUCM) (Formerly CallManager), Cisco Unified Contact Center Express (UCCX), Inter-Tel, Mitel Phone Systems","Citrix, HP Neoware, VMware, VMware ESX Server"
"Ames National Corporation",,,,"Google Analytics",,,,,,,,,,,,,"CSS",,,,"Adobe, Adobe Dreamweaver, Apache","Google Postini",,,"Mediacom Communications, ShoreTel",
"Andover Bank",,,,"Google Analytics",,"Signal (BrightTag)","Fiserv Business Analytics",,,"Crazy Egg","Fiserv, Fiserv AccountCreate, Fiserv Branch Source Capture, Fiserv Fraud Detection System, Fiserv Merchant Source Capture, Fiserv Precision, Fiserv Teller Source Capture, Prologue Investment Portfolio Accounting",,"Fiserv Accurate NXG (formerly CheckFree RXP), Popmoney",,,,"jQuery",,"Fiserv Mobiliti",,,"Incapsula",,,,
"Andrews Federal Credit Union",,,,,,,"Hyland OnBase ECM",,,,"DocuSign Electronic Signature Solution, Jack Henry Banking, Jack Henry Banking NetTeller, Symitar Data Processing",,,,,,"Microsoft ASP.NET",,,"Aerohive Networks",,"RSA, Symitar Episys",,,"Interactive Intelligence, Verizon Wireless",
"Androscoggin Bank","Google Tag Manager",,,"Google Analytics",,,"DNN Evoq Content (DotNetNuke)",,,,,,,,,,,,,,,,,,"FirstLight",
"Apollo Bank",,,,"Google Analytics",,,,,,,,"Q2ebanking",,,"ADP, ADP Workforce Now",,"CSS, HTML",,,,"Bootstrap",,,,"Windstream Communications",
"Apollo Trust","SEO Pack",,,,,,,,,,,,,,,,,,,,,,,,,
"Apple Bank for Savings","Google Tag Manager",,,"Google Analytics",,,,,,,"Adobe Acrobat",,,,"ADP, ADP Enterprise eTime, ADP Workforce Now, Oracle Taleo Talent Management",,,,,,"Adobe",,,,"Cisco Systems, Verizon Wireless",
"Apple Federal Credit Union","AdRoll",,,,,"Satmetrix","Jack Henry Synergy ECM","HP LeftHand SAN, NetApp",,,"Symitar Data Processing",,,,"ADP",,,,,"FatPipe","Bootstrap, Modernizr, Selenium","SonicWall","Microsoft Windows Servers",,"XO Communications","Citrix, Citrix XenApp (formerly MetaFrame and Presentation Server), Citrix XenDesktop, VMware, VMware ESX Server, VMware vCenter, VMware vSphere"
"ARC Federal Credit Union",,,,"Google Analytics",,,,,,,,,,,,,,,,,,"Barracuda Email Security",,,,
"Arizona Central Credit Union","AdRoll, Facebook Pixel, Google Tag Manager",,,"Google Analytics",,"Hotjar",,,,,,,,,,,,,,,"Apache",,"Apache Servers",,"CenturyLink",
"Arlington Community FCU","Google DoubleClick products (AdMeld), Quantcast",,,"Google Analytics",,,,"WordPress",,,,,,,,,,,,,,,,,,
"Armed Forces Bank","Google DoubleClick products (AdMeld), Google Tag Manager",,"PwC","Google Analytics","Micro Focus GroupWise (formerly Novell GroupWise), Microsoft Azure RemoteApp, Microsoft SharePoint",,"Microsoft Active Directory, Microsoft System Center Operations Manager (SCOM), Microsoft System Center Orchestrator, Oracle, Oracle Essbase","Rackspace",,,"logicpath, Microsoft System Center Configuration Manager (SCCM)",,,"IBM AIX, Linux, Microsoft Deployment Toolkit (MDT)",,"Microsoft System Center Service Manager (SCSM), SolarWinds, Spiceworks, System Center Virtual Machine Manager (SCVMM)","CSS, jQuery, Microsoft Windows PowerShell, PHP, VB.NET, VBScript",,,"Infoblox DHCP/DNS, Novell, Novell eDirectory, Radware Alteon Load Balancers","Adobe ColdFusion, Apache, Java Enterprise Edition (Java EE, J2EE), Microsoft Windows WMI","Entrust, McAfee (formerly Intel Security), McAfee Anti-Virus, Micro Focus ZENworks, Microsoft Windows BitLocker, Radware, Sophos, Sophos Antivirus Anti-Spam, Symantec Cloud, Symantec MessageLabs","Apache HTTP Server (Web Server), Microsoft Windows Server 2003, Microsoft Windows Server 2008, Microsoft Windows Server 2012, Microsoft Windows Servers, Rackspace Cloud Server",,"Verizon Wireless","Microsoft App-V, Microsoft Azure, VMware"
"Army Aviation Center Federal Credit Union","Google Tag Manager",,,"Google Analytics",,,,,,,,,,,,,"CSS, jQuery",,,,"Varnish","Comodo SSL",,,,
"Arrowhead Credit Union",,,,,"Microsoft Exchange","Salesforce.com CRM","Microsoft Active Directory","MaxCDN","Microsoft SQL Server",,"DocuSign Electronic Signature Solution",,,"IBM z/OS",,,,,"AirWatch","Cisco Routers and Switches","Adobe, Adobe ColdFusion, Adobe Dreamweaver, Apache","Barracuda Email Security, Barracuda Networks Spam Filter, Nessus Security Scanner","Apache Servers, IBM Mainframe (IBM z Systems), Microsoft Internet Information Services (IIS)",,"Cisco Systems, Cisco Unified Communications, Cisco Unified Communications Manager (CUCM) (Formerly CallManager), Level 3 Communications","VMware, VMware vCenter"
"ArrowPointe Credit Union","Google Tag Manager",,,"Google Analytics",,,,,,,"Adobe Acrobat",,,,,,"CSS, Microsoft ASP.NET",,,,"Adobe","Comodo SSL",,,,
"Arvest Bank Group",,,,"Webtrends",,,"Brocade Data Center Fabric Manager, Cacti, Oracle, Trintech","Brocade Switches, CommVault, Dell EMC Captiva, HPE 3PAR StoreServ Storage, IBM XIV, NetApp","MySQL",,"Fiserv, Fiserv Payment Solutions (formerly CheckFree)","Infor Lawson ERP, Oracle Hyperion, SAP, SAP Enterprise Resource Planning (ERP)","Asentinel Telecom Expense Management","IBM AIX, Linux",,"Cherwell IT Service Management, SolarWinds","Microsoft ASP.NET, Perl, PHP",,,"Brocade",,"Symantec, Symantec Ghost Solution Suite, TeamMate Audit, Risk & Compliance","IBM HTTP Server, Red Hat Enterprise Linux (RHEL), SUSE Linux Enterprise Server, UNIX",,"AT&T","VMware, VMware ESX Server, VMware vCenter"
"Ascend Federal Credit Union","Google Tag Manager",,,,"Cisco WebEx, Citrix GoToMeeting, Microsoft SharePoint, Microsoft SharePoint 2013, Microsoft Windows OneDrive (formerly SkyDrive)",,"Microsoft Active Directory","Dell EMC SAN",,"Drupal Commerce",,,,,,,,,"Good Mobile",,"Apache, Modernizr","Barracuda Email Security","Apache Servers",,"AT&T, Cisco TelePresence, Fonolo","Citrix, Citrix NetScaler, VMware, VMware vCenter"
"ASE Credit Union",,,,,,,,"MaxCDN",,,,,,,,,,,,,,,,,,
"Ashland Credit Union",,,,,,,,,,,,,,,,,,,,,,,,,"Windstream Communications",
"ASI Credit Union","Google Tag Manager",,,,,,"Monarch Professional",,"Microsoft Access",,,"RedBeam",,,,,"HTML, jQuery",,,,,,,,,
"Aspire FCU","Google Tag Manager",,,,,"MailChimp, Pardot",,"WordPress",,"Yoast","IMM TotaleAtlas",,,,,,"HTML, Microsoft ASP.NET",,,,"Apache",,"Apache Servers",,,
"Associated Banc-Corp","AppNexus, Google Tag Manager, iPR Software",,,"Adobe SiteCatalyst (Omniture), Google Analytics, Oracle Human Resources Analytics",,"LinkedIn Insight Tag (Bizo), Salesforce Marketing Cloud (Formerly ExactTarget), Salesforce.com CRM","IBM Sterling Commerce, Microsoft Active Directory, Microsoft SQL Server Reporting Services (SSRS), Oracle, STEALTHbits","Brocade Switches, Dell Compellent, Dell EMC Data Domain, Pure Storage Flash Memory","Microsoft SQL Server, Microsoft SQL Server Integration Services (SSIS)",,"Microsoft System Center 2012 Configuration Manager (SCCM 2012), Microsoft System Center Configuration Manager (SCCM), Wipro Gallagher",,"Argo Teller Payments Software","IBM System i, Linux, Microsoft Windows 7","Oracle Fusion HCM, Oracle Taleo Onboarding Cloud Service, Oracle Taleo Talent Management","Microsoft System Center 2012","BASH, CSS, jQuery, Microsoft ASP.NET, Microsoft Visual Basic (VB, includes 6), VBScript, XSL",,,"Brocade, IBM Sterling Connect:Direct","Adobe, Adobe Dreamweaver, Apache, HP Quality Center Software, Jenkins, Microsoft Visual Studio, SOASTA, SOASTA CloudTest, WinBatch","Avaya Session Border Controller, McAfee (formerly Intel Security), McAfee ePolicy Orchestrator (EPO), Microsoft Azure Multi-Factor Authentication (formerly PhoneFactor), TeamMate Audit, Risk & Compliance","Apache Tomcat, Apple Mac OS, Dell PowerEdge Servers, HP Proliant Servers, IBM System p (pSeries), Microsoft Internet Information Services (IIS), Microsoft Windows Server 2008, Microsoft Windows Server 2012, Microsoft Windows Servers, Microsoft Windows XP, Oracle Sun Servers, Red Hat Enterprise Linux (RHEL)",,"AT&T, Avaya, Jacada","Citrix, Citrix XenApp (formerly MetaFrame and Presentation Server), Citrix XenDesktop, Microsoft App-V, Microsoft Azure, Microsoft Hyper-V, VMware, VMware Distributed Resource Scheduler (DRS), VMware ESX Server, VMware vCenter Site Recovery Manager (SRM), VMware vSphere High Availability (HA), VMware vSphere PowerCLI"
"Associated Credit Union of Texas",,,,"Google Analytics","Microsoft Outlook","DeepTarget",,,,,,,"Visa DPS",,,,"CSS, HTML, jQuery, Microsoft ASP.NET, PHP, XHTML",,,,"Adobe, Adobe ColdFusion",,,,"AT&T",
"Astoria Bank",,,,"Google Analytics, QlikView","Avaya Meeting Exchange, Microsoft Exchange","Salesforce.com CRM","Hyland OnBase ECM, Informatica, Microsoft Active Directory, Microsoft Project, Microsoft SQL Server Analysis Services (SSAS), Microsoft SQL Server Reporting Services (SSRS), Oracle, Oracle Essbase","WordPress","Microsoft SQL Server, Microsoft SQL Server 2005, Microsoft SQL Server 2008, Microsoft SQL Server 2012, Microsoft SQL Server Integration Services (SSIS), MySQL, Oracle Database (RDBMS)",,"IBM Rational RequisitePro","Oracle Hyperion, SAP, VendorINSIGHT",,"Microsoft Windows 7","Global knowledge, UltiPro","LANDESK Management Suite, LANDESK Software","CSS, jQuery, jQuery UI, Microsoft ASP.NET, Microsoft Visual Basic (VB, includes 6), Microsoft Visual C#, PHP, SQL, VBScript",,"BlackBerry, Blackberry Enterprise Server (BES), Symantec Mobile Management Suite","Avaya Network Hardware","Apache, Hibernate, IBM Rational ClearCase, IBM Rational ClearQuest, IBM Rational Rose, Spring","FireEye, Forcepoint (Websense), Symantec AntiVirus Corporate Edition, Symantec Verisign SSL","Apache Tomcat, IBM AS/400, Microsoft Windows Server 2008, Microsoft Windows Server 2012, Microsoft Windows Servers, UNIX","Microsoft Services","Avaya, Avaya Aura Call Center Elite, Avaya Aura Communication Manager (ACM), Avaya Extension to Cellular, Avaya Intuity, Avaya IP Agent, Avaya IP Telephony (VoIP), Avaya IVR, Avaya PBX, Avaya Telephony Hardware, Cisco IP Telephony (VoIP), Cisco Systems, Cisco Telephony Hardware, Cisco Unity System, Verizon Wireless","VMware"
